Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5 ec6 ec7 stereo
1 2 60 4 2 4 IFO 18.35 2.21 0 3 2 5 0 0 0 0 0 0 2
1 3 61 5 1 4 IFO 33.92 2.62 1 4 4 10 0 0 0 0 0 0 2
1 3 62 1 1 2 CG 9.98 1.26 1 2 2 35 0 0 0 0 0 0 2
1 3 63 3 1 1 CST 11.55 1.84 1 1 1 94 0 0 0 0 0 0 2
1 3 64 2 1 3 CC 7.13 2.38 1 3 3 46 0 0 0 0 0 0 2
1 3 65 4 1 5 ILF 17.02 2.28 1 5 5 14 0 0 0 0 0 0 2
1 3 66 5 1 2 CG 15.16 1.58 1 2 2 6 0 0 0 0 0 0 2
1 3 67 1 1 3 CC 6.32 1.70 1 3 3 329 0 0 0 0 0 0 2
1 3 68 3 1 5 ILF 14.47 1.10 1 5 5 27 0 0 0 0 0 0 2
1 3 69 2 1 4 IFO 14.05 2.72 1 4 4 29 0 0 0 0 0 0 2
1 3 70 4 1 1 CST 5.31 1.85 1 1 1 41 0 0 0 0 0 0 2
1 3 71 5 3 5 ILF 6.97 2.16 1 5 5 11 0 0 0 0 0 0 2
1 3 72 1 3 2 CG 3.68 2.32 1 2 2 35 0 0 0 0 0 0 2
1 3 73 3 3 4 IFO 11.51 2.18 1 4 4 23 0 0 0 0 0 0 2
1 3 74 2 3 1 CST 11.68 2.02 1 1 1 142 0 0 0 0 0 0 2
1 3 75 4 3 3 CC 6.43 4.43 1 3 3 29 0 0 0 0 0 0 2
1 3 76 5 3 4 IFO 12.14 2.18 1 4 4 11 0 0 0 0 0 0 2
1 3 77 1 3 3 CC 14.19 4.46 1 3 3 323 0 0 0 0 0 0 2
1 3 78 3 3 5 ILF 11.24 5.82 1 5 5 27 0 0 0 0 0 0 2
1 3 79 2 3 1 CST 9.71 1.86 1 1 1 88 0 0 0 0 0 0 2
1 3 80 4 3 2 CG 6.30 1.83 1 2 2 9 0 0 0 0 0 0 2
1 3 81 5 2 2 CG 4.99 1.27 1 2 2 5 0 0 0 0 0 0 2
1 3 82 1 2 4 IFO 18.04 2.00 1 4 4 27 0 0 0 0 0 0 2
1 3 83 3 2 3 CC 4.46 2.15 1 3 3 29 0 0 0 0 0 0 2
1 3 84 2 2 1 CST 5.24 2.35 1 1 1 145 0 0 0 0 0 0 2
1 3 85 4 2 5 ILF 9.20 2.21 1 5 5 14 0 0 0 0 0 0 2
1 3 86 5 2 2 CG 5.13 1.87 1 2 2 6 0 0 0 0 0 0 2
1 3 87 1 2 3 CC 4.64 1.91 1 3 3 329 0 0 0 0 0 0 2
1 3 88 3 2 5 ILF 3.65 1.94 1 5 5 27 0 0 0 0 0 0 2
1 3 89 2 2 1 CST 9.72 1.73 1 1 1 97 0 0 0 0 0 0 2
1 3 90 4 2 4 IFO 12.56 1.59 1 4 4 18 0 0 0 0 0 0 2
1 4 91 5 1 3 CC 69.07 2.70 0 0 1 550.38387 25.548268 35 0 0 0 0 2
1 4 92 1 1 1 CST 73.63 1.78 0 0 1 308.719675 17.130037 146 0 0 0 0 2
1 4 93 3 1 2 CG 21.49 1.23 0 0 1 206.416211 15.378211 47 0 0 0 0 2
1 4 94 2 1 5 ILF 34.73 1.33 0 0 1 361.011658 31.030435 132 0 0 0 0 2
1 4 95 4 1 4 IFO 21.54 0.46 0 0 1 452.96334 29.424623 24 0 0 0 0 2
1 4 96 5 1 2 CG 14.88 1.36 0 0 1 250.979125 12.858324 9 0 0 0 0 2
1 4 97 1 1 1 CST 50.83 2.74 0 0 1 164.99727 25.123904 407 0 0 0 0 2
1 4 98 3 1 4 IFO 9.60 0.81 0 0 1 309.477848 28.643363 58 0 0 0 0 2
1 4 99 2 1 5 ILF 23.29 0.42 1 1 1 151.730026 33.082050 233 0 0 0 0 2
1 4 100 4 1 3 CC 9.91 1.11 1 1 1 67.240182 22.274493 27 0 0 0 0 2
1 4 101 5 3 5 ILF 4.77 2.10 0 0 1 510.335373 31.030433 10 0 0 0 0 2
