Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5
1 3 74 2 3 5 ILF 15.81 1.36 1 5 5 26 0 0 0 0
1 3 75 4 3 4 IFO 4.15 0.86 1 4 4 18 0 0 0 0
1 3 76 5 3 3 CC 1.79 1.67 1 3 3 73 0 0 0 0
1 3 77 1 3 2 CG 2.29 0.87 1 2 2 44 0 0 0 0
1 3 78 3 3 1 CST 4.31 1.08 1 1 1 47 0 0 0 0
1 3 79 2 3 4 IFO 18.89 2.00 1 4 4 27 0 0 0 0
1 3 80 4 3 5 ILF 12.01 0.82 1 5 5 18 0 0 0 0
1 3 81 5 2 5 ILF 9.62 2.90 1 5 5 11 0 0 0 0
1 3 82 1 2 1 CST 4.29 1.30 1 1 1 236 0 0 0 0
1 3 83 3 2 4 IFO 23.94 1.85 1 4 4 19 0 0 0 0
1 3 84 2 2 2 CG 2.64 0.85 1 2 2 33 0 0 0 0
1 3 85 4 2 3 CC 2.40 0.98 1 3 3 29 0 0 0 0
1 3 86 5 2 2 CG 5.25 0.80 1 2 2 6 0 0 0 0
1 3 87 1 2 5 ILF 10.39 1.66 1 5 5 38 0 0 0 0
1 3 88 3 2 4 IFO 6.59 0.74 1 4 4 23 0 0 0 0
1 3 89 2 2 1 CST 3.69 1.20 1 1 1 97 0 0 0 0
1 3 90 4 2 3 CC 1.91 0.78 1 3 3 125 0 0 0 0
1 4 91 5 1 3 CC 126.71 0.46 0 0 1 413.482638 25.548268 35 0 0
1 4 92 1 1 1 CST 39.07 1.67 0 0 1 326.097084 17.130037 146 0 0
1 4 93 3 1 5 ILF 87.42 0.30 0 0 1 556.838585 31.030435 73 0 0
1 4 94 2 1 4 IFO 47.73 0.78 1 1 1 16.235771 29.424623 48 0 0
1 4 95 4 1 2 CG 48.15 1.74 0 0 1 416.622272 15.378211 29 0 0
1 4 96 5 1 1 CST 87.98 0.28 1 1 1 70.724897 25.123905 53 0 0
1 4 97 1 1 4 IFO 18.63 1.12 1 1 1 50.431454 28.643363 108 0 0
1 4 98 3 1 2 CG 20.81 0.98 0 0 1 395.278386 12.858325 25 0 0
1 4 99 2 1 5 ILF 47.33 1.35 1 1 1 80.265396 33.082050 233 0 0
1 4 100 4 1 3 CC 271.25 0.49 0 0 1 214.536051 22.274493 27 0 0
1 4 101 5 3 2 CG 32.48 1.05 1 1 1 37.278088 15.378211 4 0 0
1 4 102 1 3 1 CST 8.60 4.13 1 1 1 45.377758 17.130037 83 0 0
1 4 103 3 3 4 IFO 3.37 1.33 1 1 1 31.045501 29.424623 13 0 0
1 4 104 2 3 5 ILF 13.21 2.66 1 1 1 149.403559 31.030433 26 0 0
1 4 105 4 3 3 CC 29.55 2.39 0 0 1 585.888418 25.548268 11 0 0
1 4 106 5 3 4 IFO 2.69 0.96 1 1 1 45.838897 28.643362 15 0 0
1 4 107 1 3 2 CG 3.81 1.06 1 1 1 57.986011 12.858323 24 0 0
1 4 108 3 3 3 CC 14.59 1.02 1 1 1 84.21741 22.274494 43 0 0
1 4 109 2 3 5 ILF 2.03 0.36 1 1 1 95.604886 33.082050 27 0 0
1 4 110 4 3 1 CST 2.41 0.62 0 0 1 93.351937 25.123905 45 0 0
1 4 111 5 2 2 CG 125.05 1.95 0 0 1 479.227526 15.378211 8 0 0
1 4 112 1 2 4 IFO 9.60 2.20 1 1 1 69.20047 29.424623 73 0 0
1 4 113 3 2 1 CST 6.40 1.02 1 1 1 24.968079 17.130037 40 0 0
1 4 114 2 2 3 CC 11.19 0.56 0 0 1 829.588157 25.548268 94 0 0
1 4 115 4 2 5 ILF 6.10 0.76 0 0 1 108.516269 31.030435 44 0 0
1 4 116 5 2 5 ILF 33.80 1.01 1 1 1 75.255084 33.082050 16 0 0
1 4 117 1 2 1 CST 43.08 1.32 0 0 1 281.504905 25.123904 408 0 0
1 4 118 3 2 2 CG 73.55 0.78 0 0 1 396.187859 12.858325 22 0 0
1 4 119 2 2 4 IFO 21.81 0.89 1 1 1 49.872306 28.643363 74 0 0
1 4 120 4 2 3 CC 53.85 0.94 0 0 1 444.813359 22.274493 27 0 0
1 5 121 5 1 1 CST 9.79 2.78 1 1 1 16 8 0 0 0
1 5 122 1 1 4 IFO 9.06 0.93 0 1 2 25 12 0 0 0
1 5 123 3 1 2 CG 3.15 0.95 1 2 2 13 6 0 0 0
1 5 124 2 1 5 ILF 7.90 1.07 1 2 2 30 14 0 0 0
1 5 125 4 1 3 CC 5.57 1.18 1 1 1 37 19 0 0 0
1 5 126 5 1 1 CST 6.95 0.90 1 1 1 17 9 0 0 0
1 5 127 1 1 4 IFO 7.26 0.78 1 1 1 22 10 0 0 0
1 5 128 3 1 5 ILF 5.76 0.92 1 2 2 29 14 0 0 0
1 5 129 2 1 3 CC 6.00 0.76 1 1 1 70 35 0 0 0
